title,URI,labels,Author,Abstract,Subject,Date,Page,
Nashi tropiki,"https://iiif.princeton.edu/loris/figgy_prod/c3%2F27%2F4c%2Fc3274ccf58c64d7a8b3765267876ccc3%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Art, Watercolor paint, Visual arts, Still life, Modern art, Artwork, Illustration, Paper, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Tropics—Juvenile literature,1931,21,
Charly-Fox : Fokstrot,"https://iiif.princeton.edu/loris/figgy_prod/b8%2F5c%2F24%2Fb85c245b3cc0406dba135db1cbb2cce6%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Green, Poster, Text, Fictional character, Font, Book cover, Illustration, Fiction, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Popular music—Soviet Union—1921-1930—Scores,1927,0,
Charly-Fox : Fokstrot,"https://iiif.princeton.edu/loris/figgy_prod/3c%2Fde%2F5e%2F3cde5e4c8a424fbab36624d6afc375b1%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Picture frame, Rectangle, Square, Paper, Painting, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Popular music—Soviet Union—1921-1930—Scores,1927,1,
Charly-Fox : Fokstrot,"https://iiif.princeton.edu/loris/figgy_prod/7f%2Ff9%2F90%2F7ff9903d13ea42759b6535abac898f4d%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Handwriting, Font, Document, Paper, Music, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Popular music—Soviet Union—1921-1930—Scores,1927,2,
Charly-Fox : Fokstrot,"https://iiif.princeton.edu/loris/figgy_prod/47%2Fd6%2Fc1%2F47d6c1bbfe9547d9a395e923beb9951a%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Handwriting, Font, Document, Paper, Music, Writing, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Popular music—Soviet Union—1921-1930—Scores,1927,3,
Charly-Fox : Fokstrot,"https://iiif.princeton.edu/loris/figgy_prod/09%2F27%2Fbf%2F0927bf8ae6c74420a44809b51cb773cf%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Music, Handwriting, Font, Paper, Document, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Popular music—Soviet Union—1921-1930—Scores,1927,4,
Charly-Fox : Fokstrot,"https://iiif.princeton.edu/loris/figgy_prod/b4%2Fea%2F87%2Fb4ea8711d2714320973466c4a2c6b0ac%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Paper, Font, Paper product, Rectangle, Square, ","Bruni, L. A. (Lev Aleksandrovich), 1894-1948",An introduction for children to the geography and history of the Soviet tropics.,Popular music—Soviet Union—1921-1930—Scores,1927,5,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/5c%2F18%2F16%2F5c1816a52a254ad8acc6391cb351c7bc%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Illustration, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,0,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/f6%2Fa5%2F31%2Ff6a53121bf824c6588422e4950e2402d%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Green, Rectangle, Square, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,1,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/df%2Fb1%2F2e%2Fdfb12e46ed2a4b2d9e951e1f9dfd2394%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Font, Calligraphy, Art, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,2,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/2c%2Fc0%2Fdf%2F2cc0dfee45344e2cb41973e9ebdba784%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Paper, Paper product, Document, Mail, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,3,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/a2%2F7d%2F5f%2Fa27d5fb7a15642968801e9d57187c641%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Cartoon, Art, Illustration, Visual arts, Watercolor paint, Modern art, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,4,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/75%2F08%2F03%2F750803c59b7c4f2b90afb30da16ccff7%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Paper, Beige, Paper product, Wood, Paper bag, Rectangle, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,5,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/34%2Fad%2F93%2F34ad936f48d7490a9a3b4bd755876f1c%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Art, Painting, Textile, Illustration, Visual arts, Drawing, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,6,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/52%2F3c%2F16%2F523c16beae724890a2b74504b7140ddb%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Paper, Wood, Beige, Paper product, Rectangle, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,7,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/4c%2F11%2F9b%2F4c119b2897ca49b2a35d8b88d932d161%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Art, Costume design, Textile, Illustration, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,8,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/64%2F28%2Fb8%2F6428b85d5ac44438a983967dbaa8a744%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Paper, Beige, Wood, Paper product, Paper bag, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,9,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/6a%2F9c%2Fbe%2F6a9cbed1b8a243a6bdb3eb8e49b1b62a%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Art, Costume design, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,10,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/92%2Fe0%2Feb%2F92e0eb61ae874e6184c9385feb1e2af5%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Paper, Wood, Beige, Paper product, Rectangle, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,11,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/c1%2F95%2Ff6%2Fc195f60dfd8840d79134bb3fd391aafa%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Fashion illustration, Costume design, Illustration, Art, Painting, Textile, Drawing, Visual arts, Pattern, Pattern, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,12,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/0d%2F58%2F0a%2F0d580a9b486d4a35a7ecb5780e57e1ef%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Paper, Rectangle, Beige, Paper product, Square, Cookware and bakeware, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,13,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/67%2F4c%2F6d%2F674c6d8c58894eaea377570e37bd7d17%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Paper, Font, Paper product, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,14,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/22%2Fcf%2Fc9%2F22cfc9577f544cdc9bf581e351558c28%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Handwriting, Font, Calligraphy, Paper, Document, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,15,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/87%2Fb8%2F49%2F87b849e7c44d4af3a98c9d74753fbe94%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Illustration, Art, Costume design, Fashion illustration, Paper, Style, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,16,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/51%2Fe2%2F2e%2F51e22e6e0eda43bfbd3b3466c302dba7%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Paper, Beige, Rectangle, Wood, Paper product, Square, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,17,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/a1%2Fae%2F36%2Fa1ae36eb6e2c4fcc8c11f7010f51b391%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Art, Illustration, Painting, Costume design, Modern art, Fictional character, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,18,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/cd%2F90%2F31%2Fcd90313a45f64db380c2e1fd5e64b4f1%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Paper, Beige, Wood, Paper product, Square, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,19,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/04%2Fb1%2F10%2F04b110ae7852491fa2d25d5e253d09bc%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Modern art, Art, Illustration, Watercolor paint, Visual arts, Child art, Paint, Drawing, Style, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,20,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/db%2Fdb%2F26%2Fdbdb26b0b7624b63b3a66ae0bfff0e33%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Paper, Paper product, Beige, Wood, Rectangle, Cookware and bakeware, Square, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,21,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/17%2F30%2Fc7%2F1730c7eb766d442da9379048f8558bbc%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Costume design, Painting, Fashion, Fashion illustration, Illustration, Dress, Art, Drawing, Rectangle, Style, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,22,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/39%2F2d%2F85%2F392d85b4f70443d1ae00f9a3876a3815%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Paper, Beige, Rectangle, Paper product, Square, Cookware and bakeware, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,23,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/03%2F22%2F15%2F032215718e174d0797585b3fd465737a%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Handwriting, Font, Paper, Document, Calligraphy, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,24,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/3e%2F53%2F4d%2F3e534d42887d4d31afbc0f39a96ff091%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Text, Handwriting, Font, Paper, Document, Calligraphy, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,25,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/24%2Fc2%2Fa0%2F24c2a0ad1a194344ac25b6bbf48c9fdd%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Illustration, Painting, Art, Costume design, Fashion illustration, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,26,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/4e%2Fec%2F45%2F4eec452d4abd4f798f57e9f26ee83aa8%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Wood, Beige, Rectangle, Square, Paper, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,27,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/5d%2F8f%2F8c%2F5d8f8c4432e64a7f8b607eade15ed5f4%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Painting, Costume design, Illustration, Art, Fashion illustration, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,28,
"Vi︠a︡tskai︠a︡ glini︠a︡nnai︠a︡ igrushka v risunkakh : raskraska risunkov ruchnai︠a︡, i︠a︡ichnymi kraskami, tochno skopirovannymi s podlinnikov","https://iiif.princeton.edu/loris/figgy_prod/c6%2F1e%2F70%2Fc61e70e27b4746d5b24ef47890f7dcf1%2Fintermediate_file.jp2/full/1000,/0/default.jpg","Paper, Rectangle, Wood, Square, Beige, Cookware and bakeware, Paper product, ","Denʹshin, Alekseĭ.",An introduction for children to the geography and history of the Soviet tropics.,Toys—Russia,1917,29,
